State or jurisdiction,total_schools,state_code
Alabama ...........................,73,AL
Alaska ............................,8,AK
Arizona ...........................,80,AZ
Arkansas ..........................,52,AR
California ........................,436,CA
Colorado ..........................,80,CO
Connecticut .......................,43,CT
Delaware ..........................,8,DE
District of Columbia .............,19,DC
Florida ...........................,208,FL
Georgia ...........................,126,GA
Hawaii ............................,20,HI
Idaho .............................,18,ID
Illinois ..........................,177,IL
Indiana ...........................,78,IN
Iowa ..............................,62,IA
Kansas ............................,70,KS
Kentucky ..........................,65,KY
Louisiana ..........................,62,LA
Maine ..............................,31,ME
Maryland ...........................,56,MD
Massachusetts .....................,120,MA
Michigan ..........................,92,MI
Minnesota .........................,100,MN
Mississippi .......................,39,MS
Missouri ...........................,118,MO
Montana ...........................,23,MT
Nebraska ..........................,41,NE
Nevada ............................,26,NV
New Hampshire ......................,25,NH
New Jersey ........................,73,NJ
New Mexico ........................,42,NM
New York ..........................,298,NY
North Carolina ....................,144,NC
North Dakota .......................,20,ND
Ohio ..............................,195,OH
Oklahoma ..........................,63,OK
Oregon ............................,57,OR
Pennsylvania .....................,245,PA
Rhode Island ......................,13,RI
South Carolina ....................,74,SC
South Dakota ......................,22,SD
Tennessee .........................,101,TN
Texas ..............................,262,TX
Utah ..............................,33,UT
Vermont ...........................,23,VT
Virginia ..........................,124,VA
Washington ........................,81,WA
West Virginia ....................,45,WV
Wisconsin .........................,74,WI
Wyoming ............................,10,WY
